youtube_id,total_comments,total_languages,undetected_languages,af,am,ar,az,be,bg,bn,bs,ca,ceb,co,cs,cy,da,de,el,en,eo,es,et,eu,fa,fi,fr,fy,ga,gd,gl,gu,ha,haw,he,hi,hmn,hr,ht,hu,hy,id,ig,is,it,iw,ja,jw,ka,kk,km,kn,ko,ku,ky,la,lb,lo,lt,lv,mg,mi,mk,ml,mn,mr,ms,mt,my,ne,nl,no,ny,or,pa,pl,ps,pt,ro,ru,rw,si,sk,sl,sm,sn,so,sq,sr,st,su,sv,sw,ta,te,tg,th,tk,tl,tr,tt,ug,uk,ur,uz,vi,xh,yi,yo,zh-cn,zh-tw,zu
wsSmCuFyJAo,405,19,1832,0,0,0,0,0,0,2,0,0,0,0,3,0,0,10,2,443,0,14,23,0,0,25,9,0,0,0,0,0,0,0,0,11,0,0,0,0,0,5,0,0,5,0,9,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,2,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
klbdGv5Bz3U,24153,39,62807,0,0,26,2,0,0,17,0,0,0,0,156,0,105,728,60,18251,0,761,42,11,0,1326,337,0,0,0,0,0,0,0,5,1416,0,0,0,5,0,103,0,0,261,0,762,0,0,0,0,0,8,0,0,0,0,0,31,1,0,0,0,0,0,1,0,114,0,0,74,12,0,2,2,107,0,30,46,7,0,0,14,28,0,0,0,2,0,0,0,70,0,1,0,0,1,0,0,119,0,0,0,0,0,0,0,0,0,0,0,0
yClGpsAUm84,42458,43,126111,0,0,140,30,0,0,352,0,1,0,0,63,0,281,1693,1,58973,0,2985,158,18,0,266,1850,0,0,0,0,2,0,0,13,25,0,0,0,42,0,119,0,0,836,0,331,0,0,0,0,1,8,0,0,0,0,0,77,7,0,0,0,14,0,0,0,217,0,0,309,2,0,0,17,172,0,110,117,11,0,0,29,35,0,0,0,4,0,0,0,256,0,2,5,0,9,0,0,183,0,0,0,0,0,1,0,0,0,0,0,0
zfCo-X7UmKI,6891,32,21813,0,0,12,2,0,0,22,0,2,0,0,56,0,52,222,3,10984,0,386,32,4,0,201,185,0,0,0,0,0,0,0,3,92,0,0,0,5,0,24,0,0,124,0,303,0,0,0,0,0,3,0,0,0,0,0,12,0,0,0,0,0,0,0,0,56,0,0,56,0,0,0,0,59,0,10,34,2,0,0,4,2,0,0,0,0,0,0,0,27,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0
8H40GIXZAqk,634,23,2440,0,0,0,1,0,0,3,0,0,0,0,5,0,13,17,1,906,0,30,9,0,0,42,37,0,0,0,0,0,0,0,0,26,0,0,0,0,0,2,0,0,20,0,17,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,5,0,0,3,0,0,0,0,12,0,1,3,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8eGoPXPUEg8,4336,29,11472,0,0,7,1,0,0,4,0,0,0,0,137,0,22,216,5,5702,0,214,14,3,0,178,87,0,0,0,0,0,0,0,2,132,0,0,0,2,0,17,0,0,63,0,123,0,0,0,0,0,0,0,0,0,0,0,8,1,0,0,0,0,0,0,0,16,0,0,42,0,0,0,0,44,0,9,24,0,0,0,4,22,0,0,0,0,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1WsSY1I17gw,110137,43,324823,0,0,218,30,0,0,111,0,1,0,0,1882,2,671,3895,322,142095,0,5234,827,30,0,1276,2120,0,0,0,0,0,0,0,29,331,0,0,0,65,0,551,0,0,1220,0,10245,0,0,0,0,5,47,0,0,0,0,0,195,43,0,0,0,1,0,0,0,607,0,0,762,84,0,1,17,595,0,288,344,25,0,0,204,161,0,0,0,0,0,0,0,685,0,18,7,0,2,0,0,95,0,0,0,0,0,1,0,0,0,0,0,0
s1y2wwngjpg,65,16,283,0,0,0,1,0,0,0,0,0,0,0,0,0,1,3,1,89,0,5,0,0,0,12,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,3,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnd-MzvtmfY,803,22,3266,0,0,0,0,0,0,1,0,0,0,0,11,0,8,26,0,776,0,30,1,1,0,31,19,0,0,0,0,0,0,0,0,31,0,0,0,0,0,5,0,0,9,0,22,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,3,0,0,0,0,7,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8zUlnoHjJV4,1515,19,5090,0,0,0,0,0,0,2,0,0,0,0,5,0,2,13,0,429,0,6,1,0,0,70,8,0,0,0,0,0,0,0,0,79,0,0,0,0,0,5,0,0,4,0,36,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,3,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
