youtube_id,title,total_languages,af,bg,bn,ca,cs,cy,da,de,el,en,es,et,fa,fi,fr,gu,hr,hu,id,it,ja,kn,ko,lt,lv,ml,nl,no,pa,pl,pt,ro,sk,sl,so,sq,sv,sw,th,tl,tr,uk,vi,zh-cn
s1y2wwngjpg,목요일🌰,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tnd-MzvtmfY,[LENIVERSE] 오늘은 내가 도시락 요리사🍱 | 혼자서도 맛있게 잘해요! | EP.53,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
8zUlnoHjJV4,우린 이유를 묻지 않아도 필요한 사이 👰‍♀️❤️‍🔥 #IVE #아이브 #JANGWONYOUNG #장원영 #REBELHEART #Shorts,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dj2nNhZVrOw,IVE가 정할게 👑🖤 #IVE #아이브 #ATTITUDE #REBELHEART #Shorts,5,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
AZZh295Y_go,us when we see that our baby's all grown up #LE_SSERAFIM#르세라핌#SAKURA#사쿠라#KAZUHA#카즈하#HONGEUNCHAE#홍은채,9,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
0QG5p1pXtaA,[EPISODE] LE SSERAFIM (르세라핌) FAN MEETING ‘FEARNADA’ 2024 S/S - JAPAN Behind (7/30~31),7,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
QlzWHuvD-9g,i watched Jungkook's 'I AM STILL' movie... (SPOILERS),6,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
LZBI9wFGNDU,FILM : KAI #Rover,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
MbOXI-S-k14,혼자서 하려니까 너무 긴장되고😖 | CHANYEOL 찬열 'Black Out' 음악방송 대기실 Behind The Scenes,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
89fCmIOkL9o,"Seungmin ""Hold On"" | [Stray Kids : SKZ-RECORD]",3,0,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
FUvdnUUqU2w,#IVE #IVE_EMPATHY 'IVE'S WEEK' DAY 2 🫶 #Shorts,4,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
VLpUsmBafMQ,BLACKPINK - ‘Pretty Savage’ Live at Coachella 2023,6,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
FKdtTbkkU1Y,NCT DOJAEJUNG 'Perfume' Launch Day Recap Video📹 ✨,5,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0
q5tmSFR8uHk,luther Covered by IVE REI (#Shorts ver.) #IVE #아이브 #REI #레이 #ATTITUDE #REBELHEART #DIVE_INTO_IVE,8,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
