video_id,language,comment_count,percentage,total_comments,total_languages
u7NLG0aO5hg,fi,23,7.28,316,12
u7NLG0aO5hg,ja,6,1.9,316,12
u7NLG0aO5hg,de,4,1.27,316,12
u7NLG0aO5hg,da,3,0.95,316,12
u7NLG0aO5hg,es,3,0.95,316,12
u7NLG0aO5hg,et,1,0.32,316,12
u7NLG0aO5hg,fr,1,0.32,316,12
u7NLG0aO5hg,id,1,0.32,316,12
u7NLG0aO5hg,it,1,0.32,316,12
u7NLG0aO5hg,sv,1,0.32,316,12
CO7_m9W-Le8,en,108,15.06,717,13
CO7_m9W-Le8,hi,32,4.46,717,13
CO7_m9W-Le8,fi,29,4.04,717,13
CO7_m9W-Le8,ja,15,2.09,717,13
CO7_m9W-Le8,mt,8,1.12,717,13
CO7_m9W-Le8,es,4,0.56,717,13
CO7_m9W-Le8,cs,1,0.14,717,13
CO7_m9W-Le8,da,1,0.14,717,13
CO7_m9W-Le8,fr,1,0.14,717,13
CO7_m9W-Le8,hu,1,0.14,717,13
CO7_m9W-Le8,nl,1,0.14,717,13
CO7_m9W-Le8,pl,1,0.14,717,13
CO7_m9W-Le8,sv,1,0.14,717,13
Y4iIuhIUUx4,en,381,359.43,106,15
Y4iIuhIUUx4,ja,21,19.81,106,15
Y4iIuhIUUx4,fr,14,13.21,106,15
Y4iIuhIUUx4,es,12,11.32,106,15
Y4iIuhIUUx4,de,8,7.55,106,15
Y4iIuhIUUx4,it,4,3.77,106,15
Y4iIuhIUUx4,hi,3,2.83,106,15
Y4iIuhIUUx4,mt,3,2.83,106,15
Y4iIuhIUUx4,sv,3,2.83,106,15
Y4iIuhIUUx4,lt,2,1.89,106,15
Y4iIuhIUUx4,pl,2,1.89,106,15
Y4iIuhIUUx4,bn,1,0.94,106,15
Y4iIuhIUUx4,cs,1,0.94,106,15
Y4iIuhIUUx4,et,1,0.94,106,15
Y4iIuhIUUx4,pt,1,0.94,106,15
YPSJDEH0UIE,en,946,98.23,963,23
YPSJDEH0UIE,fi,51,5.3,963,23
YPSJDEH0UIE,hi,37,3.84,963,23
YPSJDEH0UIE,es,35,3.63,963,23
YPSJDEH0UIE,ja,34,3.53,963,23
YPSJDEH0UIE,fr,28,2.91,963,23
YPSJDEH0UIE,de,24,2.49,963,23
YPSJDEH0UIE,cs,13,1.35,963,23
YPSJDEH0UIE,it,13,1.35,963,23
YPSJDEH0UIE,lt,4,0.42,963,23
YPSJDEH0UIE,da,3,0.31,963,23
YPSJDEH0UIE,nl,3,0.31,963,23
YPSJDEH0UIE,id,2,0.21,963,23
YPSJDEH0UIE,pl,2,0.21,963,23
YPSJDEH0UIE,pt,2,0.21,963,23
YPSJDEH0UIE,ro,2,0.21,963,23
YPSJDEH0UIE,bn,1,0.1,963,23
YPSJDEH0UIE,et,1,0.1,963,23
YPSJDEH0UIE,ko,1,0.1,963,23
YPSJDEH0UIE,mt,1,0.1,963,23
YPSJDEH0UIE,sl,1,0.1,963,23
YPSJDEH0UIE,ta,1,0.1,963,23
YPSJDEH0UIE,tr,1,0.1,963,23
RJbjASZpcBI,en,386,177.88,217,17
RJbjASZpcBI,fr,16,7.37,217,17
RJbjASZpcBI,de,14,6.45,217,17
RJbjASZpcBI,fi,13,5.99,217,17
RJbjASZpcBI,es,12,5.53,217,17
RJbjASZpcBI,ja,12,5.53,217,17
RJbjASZpcBI,hi,7,3.23,217,17
RJbjASZpcBI,da,5,2.3,217,17
RJbjASZpcBI,it,4,1.84,217,17
RJbjASZpcBI,ro,4,1.84,217,17
RJbjASZpcBI,lt,2,0.92,217,17
RJbjASZpcBI,mt,2,0.92,217,17
RJbjASZpcBI,cs,1,0.46,217,17
RJbjASZpcBI,et,1,0.46,217,17
RJbjASZpcBI,pt,1,0.46,217,17
RJbjASZpcBI,sl,1,0.46,217,17
RJbjASZpcBI,sv,1,0.46,217,17
Cz913rkgGkg,en,998,93.45,1068,22
Cz913rkgGkg,fi,46,4.31,1068,22
Cz913rkgGkg,de,42,3.93,1068,22
Cz913rkgGkg,es,41,3.84,1068,22
Cz913rkgGkg,hi,40,3.75,1068,22
Cz913rkgGkg,ja,34,3.18,1068,22
Cz913rkgGkg,fr,25,2.34,1068,22
Cz913rkgGkg,id,21,1.97,1068,22
Cz913rkgGkg,cs,18,1.69,1068,22
Cz913rkgGkg,it,16,1.5,1068,22
Cz913rkgGkg,et,15,1.4,1068,22
Cz913rkgGkg,ro,8,0.75,1068,22
Cz913rkgGkg,bn,7,0.66,1068,22
Cz913rkgGkg,nl,7,0.66,1068,22
Cz913rkgGkg,sv,7,0.66,1068,22
Cz913rkgGkg,da,6,0.56,1068,22
Cz913rkgGkg,pl,6,0.56,1068,22
Cz913rkgGkg,el,4,0.37,1068,22
Cz913rkgGkg,mt,4,0.37,1068,22
Cz913rkgGkg,pt,4,0.37,1068,22
Cz913rkgGkg,lt,3,0.28,1068,22
Cz913rkgGkg,tr,2,0.19,1068,22
T4zZWKv7ANQ,en,661,133.54,495,19
T4zZWKv7ANQ,fi,27,5.45,495,19
T4zZWKv7ANQ,hi,25,5.05,495,19
T4zZWKv7ANQ,de,21,4.24,495,19
T4zZWKv7ANQ,es,16,3.23,495,19
T4zZWKv7ANQ,ja,16,3.23,495,19
T4zZWKv7ANQ,fr,8,1.62,495,19
T4zZWKv7ANQ,pl,6,1.21,495,19
T4zZWKv7ANQ,da,4,0.81,495,19
T4zZWKv7ANQ,et,4,0.81,495,19
T4zZWKv7ANQ,nl,4,0.81,495,19
T4zZWKv7ANQ,ro,2,0.4,495,19
T4zZWKv7ANQ,cs,1,0.2,495,19
T4zZWKv7ANQ,id,1,0.2,495,19
T4zZWKv7ANQ,it,1,0.2,495,19
T4zZWKv7ANQ,ko,1,0.2,495,19
T4zZWKv7ANQ,mt,1,0.2,495,19
T4zZWKv7ANQ,pt,1,0.2,495,19
T4zZWKv7ANQ,sv,1,0.2,495,19
jXcuEAaZ0Tk,en,54,98.18,55,9
jXcuEAaZ0Tk,fi,5,9.09,55,9
jXcuEAaZ0Tk,es,4,7.27,55,9
jXcuEAaZ0Tk,hi,3,5.45,55,9
jXcuEAaZ0Tk,ja,3,5.45,55,9
jXcuEAaZ0Tk,de,2,3.64,55,9
jXcuEAaZ0Tk,it,2,3.64,55,9
jXcuEAaZ0Tk,nl,1,1.82,55,9
jXcuEAaZ0Tk,sl,1,1.82,55,9
047UJ2uGF8M,en,4099,95.97,4271,30
047UJ2uGF8M,hi,323,7.56,4271,30
047UJ2uGF8M,fi,264,6.18,4271,30
047UJ2uGF8M,ja,144,3.37,4271,30
047UJ2uGF8M,es,120,2.81,4271,30
047UJ2uGF8M,de,112,2.62,4271,30
047UJ2uGF8M,fr,84,1.97,4271,30
047UJ2uGF8M,cs,52,1.22,4271,30
047UJ2uGF8M,et,41,0.96,4271,30
047UJ2uGF8M,it,40,0.94,4271,30
047UJ2uGF8M,sv,24,0.56,4271,30
047UJ2uGF8M,tr,24,0.56,4271,30
047UJ2uGF8M,da,17,0.4,4271,30
047UJ2uGF8M,id,16,0.37,4271,30
047UJ2uGF8M,nl,15,0.35,4271,30
047UJ2uGF8M,pt,15,0.35,4271,30
047UJ2uGF8M,pl,14,0.33,4271,30
047UJ2uGF8M,ro,8,0.19,4271,30
047UJ2uGF8M,ru,6,0.14,4271,30
047UJ2uGF8M,bn,5,0.12,4271,30
047UJ2uGF8M,mt,5,0.12,4271,30
047UJ2uGF8M,lt,4,0.09,4271,30
047UJ2uGF8M,ar,3,0.07,4271,30
