video_id,title,published_at,channel_id,channel_title,view_count,like_count,comment_count,total_comments_processed,languages
ppC-ZaD2ZR4,2025 IVE THE 3RD FAN CONCERT ＜IVE SCOUT＞ D-1 🔎 MISSION 💌 DIVE challenge 🌊💕 #IVE #아이브 #Shorts,2025-04-04T08:30:31Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1242759,57247,661,100,"{'ko': 49, 'de': 4, 'en': 16, 'et': 1, 'zh-cn': 1, 'ca': 3, 'ja': 10, 'it': 1, 'unknown': 4, 'id': 3, 'sk': 1, 'lt': 1, 'es': 1, 'tl': 2, 'cy': 1, 'sw': 1, 'af': 1}"
VdhSackfaAU,선서문 만들기 ＜IVE SCOUT＞2025 IVE THE 3RD FAN CONCERT,2025-03-31T14:00:34Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,131181,8848,554,100,"{'ja': 11, 'ko': 59, 'cy': 1, 'tl': 1, 'unknown': 8, 'en': 13, 'et': 2, 'uk': 1, 'nl': 1, 'id': 1, 'es': 1, 'it': 1}"
B-IzzLdZ_g0,‎ง‎🍙ว‎ ‎٩🍙۶ง🍙ว ˖⁺‧₊˚♡ #IVE #아이브 #ANYUJIN #안유진 #GAEUL #가을 #REI #레이 #Shorts,2025-03-29T11:30:07Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,3925210,185746,2175,100,"{'ko': 44, 'ja': 8, 'af': 2, 'pt': 1, 'en': 17, 'ca': 1, 'unknown': 6, 'nl': 1, 'fi': 1, 'sk': 1, 'so': 4, 'ru': 2, 'sw': 1, 'pl': 1, 'et': 2, 'no': 1, 'hu': 1, 'cy': 2, 'tr': 1, 'fa': 1, 'it': 1, 'ro': 1}"
4eBunIFMb2U,𝘑𝘐𝘕𝘕𝘠 𝘑𝘐𝘕𝘕𝘠 𝘑𝘐𝘕𝘕𝘠 𝘠𝘜𝘑𝘐𝘕𝘕𝘠 #IVE #아이브 #ANYUJIN #안유진 #Shorts,2025-03-28T08:45:08Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,965325,69271,992,100,"{'id': 1, 'en': 14, 'ko': 68, 'sw': 3, 'ja': 3, 'nl': 1, 'fr': 1, 'unknown': 2, 'so': 2, 'cy': 2, 'et': 1, 'tl': 1, 'es': 1}"
e3QpFwYVXpk,𝒍𝒊𝒌𝒆 𝑮𝑨𝑬𝑼𝑳 #IVE #아이브 #GAEUL #가을 #Shorts,2025-03-20T04:52:08Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,3159573,147169,2697,100,"{'en': 22, 'ko': 48, 'zh-cn': 1, 'no': 2, 'so': 5, 'fr': 3, 'es': 2, 'it': 1, 'tl': 2, 'pt': 1, 'cy': 1, 'unknown': 3, 'de': 2, 'nl': 1, 'ru': 1, 'ja': 1, 'vi': 1, 'sq': 1, 'ca': 1, 'sl': 1}"
g8SOqwl8veE,[IVE ON] 2024 MBC 가요대제전: WANNABE BEHIND,2025-03-18T14:00:52Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,144104,8559,380,100,"{'en': 16, 'th': 3, 'so': 3, 'nl': 2, 'es': 1, 'ko': 39, 'tl': 1, 'cy': 14, 'unknown': 8, 'ca': 1, 'it': 1, 'uk': 1, 'sk': 1, 'pt': 2, 'hu': 1, 'sw': 1, 'tr': 1, 'id': 1, 'zh-tw': 1, 'da': 1, 'de': 1}"
iFh15lC-R0E,아이브의 막내로 산다는 건 …😵‍💫 #IVE #아이브 #ANYUJIN #안유진 #REI #레이 #LIZ #리즈 #LEESEO #이서 #Shorts,2025-03-18T02:00:58Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,1705731,109149,1124,100,"{'ko': 66, 'it': 5, 'sw': 3, 'unknown': 3, 'ja': 4, 'en': 8, 'tl': 1, 'vi': 1, 'de': 1, 'et': 1, 'ar': 1, 'es': 2, 'cy': 2, 'ro': 1, 'so': 1}"
bK3rclXV8Ck,Kawaii Reii ◡̈⋆* #IVE #아이브 #REI #레이 #Shorts,2025-03-17T10:00:52Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,4698305,237291,4085,100,"{'nl': 4, 'ko': 15, 'tl': 4, 'en': 18, 'pt': 4, 'sl': 2, 'sw': 6, 'unknown': 10, 'hr': 1, 'af': 3, 'so': 6, 'de': 2, 'zh-cn': 1, 'ro': 2, 'ja': 3, 'ca': 1, 'cs': 1, 'bg': 1, 'sv': 1, 'id': 1, 'et': 1, 'fr': 2, 'da': 2, 'cy': 3, 'it': 1, 'es': 2, 'tr': 2, 'no': 1}"
2Zt7Rjv1pjA,AAA의 공주 MC 원영👑｜JANGWONYOUNG 2024 AAA MC BEHIND PREVIEW #Shorts,2025-03-14T07:00:01Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,282026,36673,726,100,"{'sv': 1, 'en': 15, 'tl': 1, 'unknown': 6, 'ko': 64, 'ja': 3, 'fr': 1, 'ca': 1, 'id': 2, 'so': 1, 'es': 1, 'de': 2, 'it': 1, 'ro': 1}"
ulmtlX2IUkE,🅟🅞🅟🅞PPY PUPPY 🐶🐊 #IVE #아이브 #ANYUJIN #안유진 #lacoste #lacostefw25 #pfw #Shorts,2025-03-12T06:00:36Z,UC-Fnix71vRP64WXeo0ikd0Q,IVE,400702,26404,654,100,"{'ko': 84, 'ro': 2, 'vi': 1, 'sq': 1, 'en': 2, 'sk': 1, 'unknown': 3, 'so': 2, 'sw': 1, 'tr': 1, 'cs': 1, 'de': 1}"
