video_id,title,total_comments,total_language_count,lang_Tamil,lang_Arabic,lang_Spanish,lang_Turkish,lang_Croatian,lang_Korean,lang_Japanese,lang_Slovenian,lang_Estonian,lang_unknown,lang_Albanian,lang_Kannada,lang_Malayalam,lang_Welsh,lang_French,lang_Nepali,lang_Somali,lang_Polish,lang_Hungarian,lang_Thai,lang_Persian,lang_Marathi,lang_Slovak,lang_Indonesian,lang_German,lang_Greek,lang_Czech,lang_Romanian,lang_Macedonian,lang_Catalan,lang_Gujarati,lang_Danish,lang_Afrikaans,lang_Lithuanian,lang_Bulgarian,lang_English,lang_Latvian,lang_Chinese (Taiwan),lang_Swedish,lang_Chinese (China),lang_Urdu,lang_Norwegian,lang_Vietnamese,lang_Filipino,lang_Punjabi,lang_Hindi,lang_Portuguese,lang_Swahili,lang_Hebrew,lang_Finnish,lang_Russian,lang_Dutch,lang_Ukrainian,lang_Bangla,lang_Telugu,lang_Italian
9i5X7ferkZk,Video 9i5X7ferkZk,775,37,0,7,31,18,5,38,52,8,5,64,1,0,0,11,12,0,24,9,3,0,2,0,6,4,19,0,12,11,0,3,0,4,4,1,0,342,2,1,0,0,0,6,17,10,0,0,10,6,0,6,1,9,0,0,0,11
KEaHI-,Video KEaHI-,31609,46,0,92,337,104,331,2416,201,153,235,1374,70,1,0,477,211,0,1283,180,380,322,37,0,51,5172,3182,1,55,173,6,162,0,209,234,20,6,8977,10,6,88,330,14,493,490,1339,0,0,545,864,0,259,111,454,10,0,0,144
WGSk6zMEL6I,Video WGSk6zMEL6I,2056,43,0,24,90,29,7,347,243,5,9,115,3,0,0,69,39,0,61,14,11,6,12,0,8,58,82,1,15,23,4,14,0,16,12,4,0,560,1,4,1,3,1,11,16,18,0,0,42,16,0,8,13,17,0,0,0,24
0jY9Xmg3H5s,Video 0jY9Xmg3H5s,310,28,0,3,12,9,1,35,22,2,2,16,0,0,0,3,1,0,11,1,7,0,0,0,0,3,4,0,1,1,0,1,0,1,0,0,0,147,0,0,0,0,0,0,3,11,0,0,3,1,0,0,2,3,0,0,0,4
zvDhHMT02Bs,Video zvDhHMT02Bs,2619,42,0,34,52,35,7,148,69,16,15,313,7,0,0,42,25,0,72,8,3,0,6,0,12,35,77,2,13,57,14,6,0,17,39,1,14,1102,0,0,8,1,2,21,35,71,0,0,73,11,0,12,77,26,3,0,0,38
xEvzzc8Dq3s,Video xEvzzc8Dq3s,100,19,0,0,2,1,0,12,6,0,0,5,1,0,0,5,4,0,2,1,0,0,0,0,0,1,3,0,0,0,0,0,0,2,0,0,0,48,0,0,1,0,0,1,0,2,0,0,1,0,0,0,0,2,0,0,0,0
3LiU8qy59xc,Video 3LiU8qy59xc,3038,41,0,41,83,111,23,250,54,15,9,174,1,0,0,40,18,0,93,13,5,0,7,0,8,79,133,0,4,14,13,8,0,13,32,1,19,1368,1,0,8,1,0,14,23,67,0,0,39,7,0,24,188,14,8,0,0,15
7xKwpPQiPGs,Video 7xKwpPQiPGs,100,17,0,0,1,0,0,16,2,0,0,5,0,0,0,6,1,0,0,1,0,0,0,0,1,7,3,0,0,2,0,0,0,1,0,0,0,49,0,0,0,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,0,0
jQx1GAhmZcA,Video jQx1GAhmZcA,100,23,0,0,6,3,0,9,0,2,2,9,0,0,0,3,2,0,3,0,0,1,0,0,1,4,3,0,0,1,0,2,0,1,0,0,0,37,0,0,0,0,0,0,1,0,0,0,3,2,0,1,3,1,0,0,0,0
Le8AQwEdQZg,Video Le8AQwEdQZg,731,37,0,3,36,4,3,20,33,2,4,57,0,0,0,10,11,0,19,11,5,0,0,0,2,4,25,0,4,6,0,3,0,1,5,4,1,351,1,0,3,0,1,1,12,21,0,0,32,10,0,5,10,5,0,0,0,6
T3IkMH76XoA,Video T3IkMH76XoA,33621,49,0,51,407,202,217,5761,158,91,305,1136,19,0,0,298,276,0,1927,111,235,372,13,1,59,4399,1819,1,181,267,2,105,1,99,363,41,10,10125,7,1,62,38,1,262,411,2093,0,1,346,456,0,217,110,442,9,1,0,112
5bocmq9IWh0,Video 5bocmq9IWh0,19368,47,0,44,460,136,65,995,229,72,205,520,65,0,0,437,160,0,729,214,120,149,38,0,18,1833,1293,1,21,69,6,128,1,116,144,3,10,7837,7,1,88,15,15,209,553,795,0,0,386,394,0,191,126,300,12,1,0,157
LnZdyc1YU7c,Video LnZdyc1YU7c,767,37,0,2,9,3,4,303,11,1,1,31,0,0,0,2,3,0,21,4,1,11,0,0,1,21,14,0,1,1,0,1,0,4,9,1,1,190,0,0,2,2,0,6,16,61,0,0,9,4,0,7,3,5,0,0,0,1
mBJ-,Video mBJ-,3454,45,0,54,192,43,9,171,251,24,20,191,3,0,0,79,52,0,105,65,23,5,17,0,11,55,128,0,13,13,5,28,0,16,22,7,2,1270,6,3,2,8,6,30,110,82,0,0,93,93,0,21,21,70,1,1,0,33
total,Video total,882990,56,6,9087,61819,33166,4010,36447,15744,4809,5414,51793,1563,16,3,13912,10240,2,26350,6020,4195,581,2494,1,2931,15500,46680,99,2514,6993,3035,9477,5,6404,9969,1655,4327,340082,346,103,3186,635,373,6914,11692,21653,3,10,26739,11945,56,5313,36975,8286,2896,21,2,8499
dEbSV51Os80,Video dEbSV51Os80,100,18,0,0,7,1,0,1,3,0,2,9,0,0,0,13,2,0,6,3,0,0,0,0,0,2,2,0,0,1,0,0,0,0,0,0,0,33,0,0,0,0,0,0,2,8,0,0,0,0,0,3,0,0,0,0,0,2
OJvR9SHSa8A,Video OJvR9SHSa8A,1047,42,0,23,16,10,4,127,4,6,7,110,1,0,0,13,4,0,51,4,3,10,7,0,6,127,48,0,4,1,2,2,0,9,8,2,2,206,0,0,7,68,1,7,12,40,0,0,30,18,0,25,8,7,1,0,0,6
-aCrNwGula8,Video -aCrNwGula8,319,31,0,1,12,5,2,37,33,3,3,33,0,0,0,5,8,0,4,0,1,0,1,0,2,6,7,0,0,3,0,2,0,2,0,1,0,102,1,0,0,0,0,0,14,15,0,0,6,1,0,2,3,3,0,0,0,1
sDerMCptwo4,Video sDerMCptwo4,2563,43,0,32,102,51,10,116,232,22,29,153,3,0,0,38,19,0,123,28,29,2,15,0,11,71,78,1,10,59,2,18,0,4,20,5,1,906,6,1,3,2,0,24,27,80,0,0,41,89,0,20,18,18,0,0,0,44
1WsSY1I17gw,Video 1WsSY1I17gw,100,20,0,0,7,0,0,11,0,2,1,12,0,0,0,4,3,0,3,0,1,0,0,0,0,2,1,0,0,2,0,0,0,0,2,0,0,35,0,0,0,0,0,1,2,3,0,0,6,0,0,1,0,0,0,0,0,1
VGJ4JLfKjPc,Video VGJ4JLfKjPc,347,35,0,10,8,3,1,71,1,0,4,36,0,0,0,7,1,0,19,4,0,1,1,0,2,15,3,0,1,5,1,1,0,1,6,3,0,86,0,0,1,0,0,3,0,3,0,0,9,20,0,4,10,1,0,1,0,4
vHNgCvnG0Jw,Video vHNgCvnG0Jw,1917,37,0,7,34,19,9,300,34,8,11,149,2,0,0,20,26,0,66,10,0,9,0,0,5,206,67,0,2,8,0,8,0,10,14,5,0,589,0,0,8,5,0,19,13,155,0,0,29,15,0,13,13,16,2,0,0,11
V3Ly4ENG0SE,Video V3Ly4ENG0SE,398,29,0,2,11,2,9,26,8,0,5,38,1,0,0,8,4,0,23,0,0,10,0,0,2,29,15,0,0,6,0,5,0,0,7,0,0,136,0,0,0,4,0,3,8,16,0,0,3,0,0,3,6,4,0,0,0,4
fv4HhqTHfoQ,Video fv4HhqTHfoQ,73187,46,0,72,1478,349,300,2133,357,172,289,1915,46,12,0,1774,589,0,1287,174,195,491,13,0,171,11780,2287,8,226,227,11,356,0,191,398,20,20,36610,15,11,102,68,2,416,1237,4824,0,0,850,445,0,285,271,277,28,0,0,405
-SyNyQGxhEI,Video -SyNyQGxhEI,8660,44,0,16,206,38,37,328,103,45,26,392,4,0,0,50,107,0,186,30,49,2106,8,0,28,233,187,1,38,57,0,23,0,30,55,2,5,3399,1,1,4,15,1,106,163,115,0,0,123,47,0,42,48,155,3,0,0,47
WyZiRjI,Video WyZiRjI,188,32,0,3,3,1,1,15,1,1,0,51,1,0,0,3,6,0,6,4,1,1,1,0,0,8,4,0,1,15,1,1,0,0,2,2,0,38,0,0,1,2,0,1,0,4,0,0,5,1,0,0,0,3,0,0,0,0
-1Z-PeEtwVU,Video -1Z-PeEtwVU,1650,43,0,27,42,43,11,90,13,9,8,213,3,0,0,15,12,0,74,27,8,1,4,0,9,12,128,1,6,5,6,3,0,27,9,4,3,578,2,0,6,0,2,18,31,73,0,0,36,8,0,11,30,24,6,0,0,12
IT7TodXsmks,Video IT7TodXsmks,1684,40,0,11,68,51,17,183,99,2,8,106,1,0,0,22,32,0,54,7,12,3,5,0,5,17,33,0,36,90,1,8,0,4,4,2,0,589,0,19,0,7,1,7,53,28,0,0,34,16,0,9,3,20,0,0,0,17
g5rAqFLdKgU,Video g5rAqFLdKgU,418,28,0,2,8,10,0,102,2,6,4,36,0,0,0,8,2,0,0,2,0,4,0,0,2,8,0,0,1,2,0,0,0,1,3,0,0,151,0,0,2,0,0,10,8,33,0,0,0,4,0,2,2,2,0,0,0,1
q4V75pKIULs,Video q4V75pKIULs,1148,36,0,2,16,6,1,483,24,1,2,58,0,0,0,11,10,0,11,3,2,53,0,0,2,37,26,0,4,10,0,1,0,3,1,2,0,298,0,0,2,4,0,15,3,30,0,0,6,3,0,1,4,5,0,0,0,8
roughtzsCDI,Video roughtzsCDI,35485,51,0,584,1769,676,80,1859,206,129,405,2811,61,3,2,1031,240,0,546,133,213,392,110,0,69,897,897,5,47,113,35,233,9,355,357,31,52,15872,16,23,107,72,16,394,295,1402,0,1,668,290,3,508,533,428,47,1,0,459
SB2aedq0WsU,Video SB2aedq0WsU,100,24,0,0,2,1,0,5,1,0,2,6,0,0,0,2,1,0,1,0,2,0,0,0,0,17,2,0,0,1,0,1,0,1,0,0,0,32,0,0,0,0,0,2,4,6,0,0,6,1,0,1,2,1,0,0,0,0
cNnY5hVGi4Y,Video cNnY5hVGi4Y,59000,50,0,858,1680,1094,259,1030,36,355,869,1935,47,23,0,717,731,0,2457,90,249,120,210,1,486,13665,1445,13,360,239,4,774,2,455,449,56,9,19916,41,2,197,22,36,613,348,4027,1,0,971,610,0,687,145,342,26,6,0,292
wHU1KFNlrfs,Video wHU1KFNlrfs,251,27,0,1,7,1,0,10,13,1,0,15,0,0,0,2,0,0,8,10,3,0,3,0,0,6,13,0,0,3,0,3,0,0,2,0,0,124,0,0,0,0,1,1,9,5,0,0,4,0,0,2,0,2,1,0,0,1
nkeh7Bx3GzY,Video nkeh7Bx3GzY,19425,43,0,85,933,171,101,223,80,59,84,329,31,0,0,756,136,0,402,99,50,21,17,0,24,717,746,0,30,41,17,141,0,94,399,14,37,11276,9,0,60,9,1,124,254,299,0,0,496,319,0,155,378,77,24,0,0,107
FcACC2nLArk,Video FcACC2nLArk,10617,44,0,63,159,33,50,3589,346,54,39,481,1,1,0,147,92,0,284,23,63,18,19,0,80,270,344,0,80,46,0,33,0,49,83,7,1,3321,2,8,9,40,0,76,71,185,2,0,102,77,0,63,12,133,4,0,0,57
abGRMUh6N08,Video abGRMUh6N08,2274,39,0,15,57,23,8,120,137,8,17,75,1,0,0,27,13,0,90,22,25,1,5,0,4,31,109,0,3,13,0,18,0,8,20,0,0,1088,2,1,12,1,0,15,46,73,0,0,92,44,0,7,3,18,0,0,0,22
wSSIFUm-2G4,Video wSSIFUm-2G4,1605,38,0,18,98,17,11,156,42,9,9,96,0,0,0,15,27,0,24,29,10,2,4,0,0,19,67,0,10,5,2,10,0,7,12,0,0,716,3,5,3,1,0,8,56,21,0,0,34,18,0,2,7,18,0,0,0,14
channel,Video channel,3422819,224,5,17248,35073,13470,4347,41456,42820,4098,5921,43261,1017,13,2,20274,10187,4,34268,9371,5709,1262,3937,6,3501,14960,28893,83,4573,9065,337,6351,5,3367,5785,1333,367,366244,503,902,1666,1327,991,5580,20884,36934,2,19,23536,16855,6,5352,3239,8660,376,16,2,8996
fqpTfqcmMLI,Video fqpTfqcmMLI,177,26,0,1,3,2,4,31,3,2,0,15,0,0,0,2,3,0,3,0,1,1,0,0,4,3,0,0,2,5,0,0,0,1,0,0,0,71,0,0,0,0,0,0,3,10,0,0,3,1,0,0,1,0,1,0,0,1
IIuYnb0rw5c,Video IIuYnb0rw5c,100,22,0,3,3,0,0,16,0,0,3,6,0,0,0,2,1,0,2,0,2,1,0,0,0,3,2,0,1,0,1,0,0,1,0,0,0,28,0,0,0,12,0,1,2,2,0,0,1,0,0,7,0,0,0,0,0,0
8XJqZWvuEis,Video 8XJqZWvuEis,429,30,0,1,1,3,0,91,8,0,5,33,4,0,0,6,0,0,18,1,0,2,1,0,0,11,15,0,1,1,0,0,0,1,6,0,0,166,0,0,3,0,0,1,2,16,0,0,3,10,0,6,1,11,0,0,0,1
X1kZHwInJEY,Video X1kZHwInJEY,940,38,0,4,23,57,10,104,29,6,6,92,3,0,0,14,15,0,19,5,4,0,1,0,3,8,38,0,29,18,0,5,0,1,6,0,0,297,0,15,2,11,3,12,28,17,0,0,14,22,0,3,2,6,0,0,0,8
Uv2TO-NJUoo,Video Uv2TO-NJUoo,1719,41,0,27,33,28,1,235,4,10,4,134,1,0,0,18,17,0,36,18,5,3,6,0,9,56,34,0,2,8,3,10,0,8,20,7,0,765,0,0,1,1,1,15,5,62,0,0,33,21,1,19,36,9,0,0,0,13
x,Video x,8066,44,0,52,331,121,28,342,264,34,42,475,5,0,0,220,87,0,244,59,29,4,13,0,27,90,386,0,12,32,27,65,0,60,54,8,24,3849,1,1,18,5,2,38,62,179,0,0,222,68,0,31,316,45,33,0,0,61
