video_id,video_link,title,comment_count,like_count,languages_used,channel_id,channel_title,published_at,en,ko,unknown,de,tl,id,es,tr,et,cy,ca,pl,pt,so,ru,ja,hr,ro,ar,it,af,th,fi,da,nl,sw,vi,hu,fr,sv,no,fa,sq,cs,bg,lt,sl,sk,lv,uk,mk,zh-cn,he,el,bn,ur,te,pa,zh-tw,ml,ta,kn,gu,ne,hi,mr,view_count,total_comments_processed,languages
JAc21J-jDZc,,𝑆𝑜 𝑡𝑜𝑛𝑖𝑔ℎ𝑡 안겨 네 품 안에🤍 @ 2025 LE SSERAFIM TOUR &#39;EASY CRAZY HOT&#39; IN INCHEON #LE_SSERAFIM #르세라핌,241.0,42754,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-19 12:01:04+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,823427.0,100.0,"{'ko': 22, 'fr': 2, 'sv': 1, 'id': 2, 'en': 38, 'unknown': 8, 'so': 3, 'sw': 1, 'ja': 8, 'vi': 2, 'sk': 1, 'de': 2, 'ru': 1, 'tl': 1, 'hu': 1, 'tr': 1, 'es': 1, 'th': 1, 'ar': 1, 'pt': 1, 'nl': 1, 'ca': 1}"
RepaW8VtnWk,,𝑙𝑖𝑔ℎ𝑡 𝑡ℎ𝑒 𝑓𝑙𝑎𝑚𝑒🐦‍🔥 @ 2025 LE SSERAFIM TOUR &#39;EASY CRAZY HOT&#39; IN INCHEON #LE_SSERAFIM #르세라핌,275.0,18854,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-19 12:00:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,192271.0,100.0,"{'ko': 18, 'ru': 3, 'en': 41, 'vi': 1, 'unknown': 8, 'es': 2, 'ja': 9, 'tl': 2, 'fi': 1, 'sw': 1, 'sv': 1, 'cy': 1, 'hr': 1, 'de': 3, 'so': 1, 'it': 1, 'pt': 1, 'fr': 1, 'af': 2, 'no': 1, 'zh-tw': 1}"
trzsSnrx7dI,,훌륭한 작품으로 다시 태어나는 중… 🎨🔥(feat. 핫쿨즈) #LE_SSERAFIM #르세라핌 #EASY_CRAZY_HOT  #EASY_CRAZY_HOT_IN_INCHEON,134.0,9679,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-19 11:44:47+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,112486.0,100.0,"{'en': 18, 'unknown': 14, 'ko': 41, 'ja': 6, 'id': 2, 'ro': 1, 'it': 1, 'es': 2, 'pl': 1, 'ar': 2, 'nl': 2, 'so': 1, 'fr': 2, 'no': 1, 'cy': 1, 'de': 2, 'af': 1, 'tl': 1, 'tr': 1}"
6ZzJvZsVVv8,,🐿 🐔 😽 🍌 🐯 #IVE #아이브 #GAEUL #가을 #LIZ #리즈 #LEESEO #이서 #Shorts,1241.0,87454,,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2025-04-19 10:30:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2212686.0,100.0,"{'ko': 74, 'unknown': 6, 'ar': 1, 'hu': 1, 'lv': 1, 'en': 11, 'ca': 1, 'ja': 1, 'et': 1, 'de': 1, 'id': 1, 'es': 1}"
vcOkG4fEqAc,,"2025 IVE THE 3RD FAN CONCERT＜IVE SCOUT＞🎫 in NAGOYA WE ARE THE BEST SCOUT, EVER 🍀 #IVE #아이브 #Shorts",204.0,15338,,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2025-04-19 09:01:23+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,229102.0,100.0,"{'ko': 60, 'unknown': 6, 'en': 8, 'es': 1, 'id': 2, 'ja': 10, 'tr': 1, 'cs': 1, 'da': 1, 'uk': 2, 'af': 1, 'pt': 2, 'nl': 1, 'zh-cn': 1, 'sl': 1, 'de': 1, 'so': 1}"
4dvfJ1G9lxI,,🎀🩰☕️ #IVE #아이브 #REI #레이 #Shorts,496.0,16879,,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2025-04-19 04:40:00+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,171544.0,100.0,"{'unknown': 7, 'ko': 33, 'it': 3, 'en': 23, 'sl': 1, 'ro': 6, 'so': 1, 'de': 4, 'ca': 2, 'sv': 1, 'pt': 2, 'sw': 1, 'es': 3, 'da': 1, 'sk': 1, 'ja': 2, 'sq': 1, 'ar': 1, 'nl': 1, 'tr': 2, 'ru': 3, 'vi': 1}"
AtWB4UXKh2g,,[IVE ON] ANYUJIN x 라보에이치 BEHIND,476.0,5283,,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2025-04-18 14:00:26+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,44017.0,100.0,"{'en': 16, 'hu': 2, 'ko': 44, 'sq': 1, 'sw': 4, 'ro': 2, 'fi': 2, 'ja': 3, 'unknown': 9, 'ca': 1, 'so': 3, 'de': 1, 'es': 1, 'sl': 1, 'it': 1, 'no': 2, 'id': 1, 'cy': 4, 'hr': 1, 'af': 1}"
CpTZEP8mEXw,,바다 너무 좋잖아𓂃◌𓈒𓐍  | aespa GISELLE LOEWE CAMPAIGN | GiGi-log,419.0,8907,,UC9GtSLeksfK4yuJ_g1lgQbg,aespa,2025-04-18 13:00:31+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73980.0,100.0,"{'ja': 12, 'es': 2, 'ru': 3, 'tr': 1, 'no': 4, 'it': 3, 'af': 2, 'da': 2, 'en': 21, 'ko': 18, 'de': 1, 'id': 1, 'et': 2, 'pt': 4, 'fi': 1, 'cy': 2, 'ar': 3, 'unknown': 4, 'vi': 2, 'tl': 3, 'th': 1, 'sw': 1, 'ro': 1, 'hr': 1, 'fr': 3, 'hu': 1, 'ca': 1}"
RrWQzK8xE-I,,Demechu: Dessert Menu Choice! #LE_SSERAFIM #르세라핌 #EASY_CRAZY_HOT  #EASY_CRAZY_HOT_IN_INCHEON,186.0,15875,,UCs-QBT4qkj_YiQw1ZntDO3g,LE SSERAFIM,2025-04-18 12:00:49+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,234612.0,100.0,"{'en': 38, 'de': 3, 'es': 3, 'ja': 14, 'ko': 22, 'et': 1, 'cs': 1, 'tl': 2, 'unknown': 9, 'id': 1, 'it': 1, 'nl': 3, 'pt': 1, 'fi': 1}"
9z5Pw6JV6T0,,샴푸기니 유진이와 함께✨｜ANYUJIN x 라보에이치 BEHIND PREVIEW #Shorts,335.0,17019,,UC-Fnix71vRP64WXeo0ikd0Q,IVE,2025-04-18 07:00:10+00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,218328.0,100.0,"{'ro': 1, 'unknown': 6, 'ko': 54, 'th': 1, 'id': 2, 'so': 2, 'sw': 6, 'en': 7, 'de': 2, 'cs': 1, 'fi': 2, 'hr': 1, 'cy': 1, 'ja': 2, 'it': 1, 'et': 1, 'tr': 1, 'af': 1, 'zh-cn': 1, 'es': 2, 'no': 1, 'tl': 1, 'pl': 1, 'fr': 2}"
