video_id,video_link,title,comment_count,like_count,languages_used,en,ko,unknown,de,tl,id,es,tr,et,cy,ca,pl,pt,so,ru,ja,hr,ro,ar,it,af,th,fi,da,nl,sw,vi,hu,fr,sv,no,fa,sq,cs,bg,lt,sl,sk,lv,uk,mk,zh-cn,he,el,bn,ur,te,pa,zh-tw,ml,ta,kn,gu,ne,hi,mr
0hrR6M06jAw,https://www.youtube.com/watch?v=0hrR6M06jAw,XIUMIN 시우민 'Shake' Dance Practice,100.0,193383,28.0,32,3,10,1,3,1,6,0,2,2,1,1,3,1,1,4,0,4,4,2,0,0,0,2,1,7,1,0,0,0,0,0,1,0,1,1,1,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cwwq0mpATOM,https://www.youtube.com/watch?v=cwwq0mpATOM,[DINO'S DANCEOLOGY] 5 Seconds of Summer - Thin White Lies,13579.0,193351,43.0,6955,422,672,877,338,291,516,103,67,278,87,116,294,459,24,55,80,85,91,266,210,5,38,91,180,247,193,73,187,28,83,23,13,31,4,12,48,27,2,2,0,2,0,3,0,0,0,0,1,0,0,0,0,0,0,0
PiW48QTK4zY,https://www.youtube.com/watch?v=PiW48QTK4zY,SUHO 수호 'Made In You' Live Session,16169.0,192566,46.0,7114,870,1000,370,293,584,498,395,261,154,129,48,296,452,73,11,92,136,959,129,100,15,351,106,157,169,66,58,309,58,146,139,20,108,1,7,105,330,2,2,5,11,0,5,0,31,0,0,0,0,0,3,1,0,0,0
7YfX94Lh15I,https://www.youtube.com/watch?v=7YfX94Lh15I,🍑⭐️ 진짜 하고 싶었던 말을 할게… #BaggyJeans,1532.0,192382,34.0,337,657,80,32,28,136,16,4,19,3,0,2,6,45,8,12,0,21,0,6,12,8,15,3,18,16,16,5,3,0,6,2,0,4,0,2,2,3,3,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
NAoe7Ihf0XI,https://www.youtube.com/watch?v=NAoe7Ihf0XI,#TalkthatTalk Challenge✌  🍑🐧🦌💕,735.0,192137,41.0,188,24,56,19,15,6,34,23,5,8,8,10,47,16,3,103,3,10,9,13,3,2,1,3,5,46,20,5,17,0,3,2,1,5,0,2,7,7,1,0,1,2,0,0,0,1,0,0,1,0,0,0,0,0,0,0
Vf0uEhCtvag,https://www.youtube.com/watch?v=Vf0uEhCtvag,이름은 버려 call me 🐥🐻 #카이 #KAI #세훈 #SEHUN #Rover #KAI_Rover #RoverChallenge,700.0,191707,35.0,243,76,66,26,15,70,11,5,10,8,5,3,10,15,15,5,1,5,9,6,8,5,16,0,5,14,0,5,9,4,10,4,0,3,0,3,3,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
VZqfMXG9vbQ,https://www.youtube.com/watch?v=VZqfMXG9vbQ,NCT 추계 워크숍 Ep.2 ❮우리 가족이잖아!❯ | THE NCT SHOW,100.0,191369,19.0,36,19,2,2,3,3,2,1,1,21,0,0,1,1,0,0,1,0,1,0,0,1,1,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PGZFU9DHDaM,https://www.youtube.com/watch?v=PGZFU9DHDaM,#JIHYO heart is burning burning burning🦄#TWICE #트와이스 #지효#WithYOUth❤‍🔥 #ONESPARK💥,1084.0,191233,40.0,217,123,83,18,15,11,32,13,7,13,8,6,24,66,13,312,1,14,3,4,4,3,5,2,5,20,3,4,11,0,5,1,1,18,3,0,4,1,0,2,0,7,0,1,0,0,0,0,1,0,0,0,0,0,0,0
ZdRM1jJbooc,https://www.youtube.com/watch?v=ZdRM1jJbooc,🍑🐶 So watch me drippin' that 흘려내려 𝓢𝓵𝓪𝔂 ✨,583.0,191010,34.0,152,149,27,18,14,88,1,1,0,6,0,1,18,24,4,11,1,0,3,1,8,10,4,0,4,6,3,1,2,0,8,0,0,5,2,1,4,3,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PS5rtWdxn3A,https://www.youtube.com/watch?v=PS5rtWdxn3A,"TWICE REALITY ""TIME TO TWICE"" Healing Camping EP.01",200.0,188345,28.0,92,6,12,1,9,6,6,1,1,20,2,1,4,2,0,12,1,4,0,1,1,1,1,2,0,1,3,3,4,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
RP1dFpAqhXY,https://www.youtube.com/watch?v=RP1dFpAqhXY,#ABCD with #JULIE 💦🔫 #TWICE #트와이스 #NAYEON #나연 #NA #KISSOFLIFE #키스오브라이프 #쥴리,581.0,186749,40.0,226,61,46,20,23,3,29,10,1,2,2,2,11,12,9,32,3,7,9,6,8,0,4,1,6,8,10,1,4,0,3,2,1,2,3,3,2,4,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
_HT5-1gRDjQ,https://www.youtube.com/watch?v=_HT5-1gRDjQ,[SPECIAL VIDEO] 부석순 (SEVENTEEN) - 7시에 들어줘 (feat. Peder Elias),2960.0,185174,39.0,1337,587,241,79,61,90,65,2,11,22,13,10,32,53,11,24,8,18,10,14,22,11,6,20,33,16,23,15,43,5,26,0,5,1,0,0,21,9,4,1,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0
6BawyJf4aKs,https://www.youtube.com/watch?v=6BawyJf4aKs,NCT U 'PADO' Archiving Video,4552.0,184048,42.0,1883,555,104,217,105,253,142,19,19,120,58,23,100,289,28,43,33,12,6,29,29,31,37,28,68,32,153,9,38,12,33,1,2,4,2,2,8,8,3,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yi7KvkrpwLU,https://www.youtube.com/watch?v=yi7KvkrpwLU,call us ✨the clique✨#TWICE #트와이스 #NAYEON #나연 #JIHYO #지효 #STRATEGY,701.0,183752,37.0,284,31,82,19,33,8,12,1,5,10,4,4,11,49,3,47,2,3,6,5,2,0,5,5,5,9,8,3,21,1,5,3,0,2,0,3,3,3,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YksyltO96N0,https://www.youtube.com/watch?v=YksyltO96N0,TWICE REALITY “TIME TO TWICE” YES or NO EP.01,13328.0,183497,40.0,6246,373,436,617,523,328,301,304,112,565,88,138,248,504,0,194,66,136,99,96,94,28,56,89,100,350,655,92,88,19,183,20,24,51,2,16,44,25,4,0,0,0,0,0,0,9,0,0,5,0,0,0,0,0,0,0
TghKD0IDX1A,https://www.youtube.com/watch?v=TghKD0IDX1A,I need all ya〰 cream soda〰🍹 #EXO #SUHO #SEHUN #JUNGWOO #CreamSoda #CreamSodaChallenge #shorts,982.0,183151,40.0,287,129,112,25,24,80,25,4,11,11,8,8,32,51,10,9,4,9,12,3,19,5,11,6,6,11,6,4,6,2,6,3,0,3,1,2,4,11,0,3,0,16,0,0,0,3,0,0,0,0,0,0,0,0,0,0
XCNv_uyDuKc,https://www.youtube.com/watch?v=XCNv_uyDuKc,So are you ready tonight? 🐈‍⬛🌙 #TWICE #트와이스 #TZUYU #쯔위 #abouTZU #RunAway,1187.0,182519,42.0,296,183,143,22,25,15,24,49,9,6,24,9,19,32,4,86,12,21,9,12,3,1,4,2,10,11,35,10,12,2,7,3,2,17,0,2,3,6,2,0,0,27,0,1,0,2,0,0,25,0,0,0,0,0,0,0
dQkUAF6buHk,https://www.youtube.com/watch?v=dQkUAF6buHk,Our #TWINFLAME moment❤‍🔥 #TWICE #트와이스#WithYOUth❤‍🔥 #ONESPARK💥,785.0,181544,40.0,252,68,68,18,8,7,30,8,7,5,4,20,19,16,14,163,0,4,6,5,3,2,2,3,3,9,10,2,3,2,4,0,2,2,1,2,4,3,1,0,0,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0
p-RTqHLBygs,https://www.youtube.com/watch?v=p-RTqHLBygs,TWICE REALITY “TIME TO TWICE” TWICE New Year EP.01,8849.0,181528,43.0,4695,439,239,226,337,140,262,119,55,456,66,87,101,334,9,288,30,92,76,52,34,14,40,17,56,112,208,42,58,15,38,6,5,22,0,7,39,17,2,1,0,6,0,1,0,2,0,0,4,0,0,0,0,0,0,0
tKItcpOutpg,https://www.youtube.com/watch?v=tKItcpOutpg,CHAEYOUNG MELODY PROJECT “Weatherman (Eddie Benjamin)” Cover by CHAEYOUNG,7738.0,181016,44.0,2883,253,505,229,234,92,582,67,57,335,75,42,382,227,43,270,42,98,49,165,38,9,52,32,101,172,276,67,98,6,45,11,6,62,1,9,31,52,1,18,3,11,0,1,0,0,0,0,6,0,0,0,0,0,0,0
pYec282aWwo,https://www.youtube.com/watch?v=pYec282aWwo,도전! 시티골든벨 여름특집 Ep.1 ❮나 지금 너무 헷갈려❯ | THE NCT SHOW,3117.0,180259,39.0,1278,480,64,74,88,361,77,11,22,68,17,12,23,74,2,37,16,47,6,14,13,60,45,4,57,25,53,5,28,6,29,1,1,3,1,0,9,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
TSchGC0AGbk,https://www.youtube.com/watch?v=TSchGC0AGbk,[Choreography Video] SEVENTEEN(세븐틴) - Darl+ing,1430.0,180092,37.0,662,196,71,56,53,55,31,6,7,38,5,14,16,34,6,34,4,3,4,7,11,0,6,3,32,24,9,9,8,2,10,0,3,0,1,1,4,2,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0
lFKmStcjzoE,https://www.youtube.com/watch?v=lFKmStcjzoE,🏋‍Iron Rovers🐻🏅 #카이 #KAI #윤성빈 #Rover #KAI_Rover #RoverChallenge,622.0,179118,38.0,237,97,63,3,12,16,11,4,3,3,0,6,9,13,11,1,1,31,31,8,4,1,6,3,5,15,2,2,3,0,6,0,1,2,1,0,2,3,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
e0bBkeZHFuI,https://www.youtube.com/watch?v=e0bBkeZHFuI,"TWICE REALITY ""TIME TO TWICE"" TDOONG High School EP.02",4600.0,178706,42.0,2578,228,139,63,143,77,127,37,26,201,41,25,56,136,2,192,16,43,71,51,16,1,10,11,38,62,58,17,36,3,20,10,9,14,1,3,20,9,1,2,0,0,0,0,0,4,0,0,3,0,0,0,0,0,0,0
_8TyFfM0Zug,https://www.youtube.com/watch?v=_8TyFfM0Zug,You like me a little bit? #MARK #JAEMIN #EUNSEOK #ANTON #NCT #NCT127 #NCTDREAM #RIIZE,1612.0,176551,38.0,336,787,25,52,38,88,12,8,19,10,6,4,15,26,6,18,8,6,2,4,24,8,15,8,9,18,11,5,9,6,16,0,5,2,1,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jLwcryKACyk,https://www.youtube.com/watch?v=jLwcryKACyk,손목~ 위에~ Perfume💖 이츠 귯~💗 #도영 & #공명,801.0,176503,30.0,184,352,35,13,39,65,10,2,2,4,2,1,10,14,3,13,4,15,1,6,1,2,2,2,5,4,0,1,2,0,6,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
TCDg2lZbonc,https://www.youtube.com/watch?v=TCDg2lZbonc,TWICE REALITY “TIME TO TWICE” TWICE and the Chocolate Factory TEASER,6633.0,175479,44.0,3166,159,221,223,283,132,126,142,62,171,33,142,141,292,2,114,36,65,180,47,35,2,83,20,77,160,219,55,54,24,39,43,3,17,2,3,19,12,5,2,0,2,0,2,0,17,0,0,1,0,0,0,0,0,0,0
xFBvfk4Ul-Q,https://www.youtube.com/watch?v=xFBvfk4Ul-Q,"TWICE ""SCIENTIST"" Cheering Guide",4838.0,175106,42.0,2048,167,215,165,157,104,392,55,55,133,38,65,138,187,4,139,22,62,102,58,28,2,35,11,51,46,110,51,58,6,28,32,3,14,0,9,16,11,7,0,1,4,0,0,0,8,0,0,1,0,0,0,0,0,0,0
kv4ncyy8jd0,https://www.youtube.com/watch?v=kv4ncyy8jd0,THE 8 肩并肩 (Side By Side) (Chinese Ver.) QQMusic YUEJIANDAPAI Special Stage,4549.0,174770,42.0,2470,265,142,128,223,151,118,31,27,51,11,22,85,146,13,63,19,78,25,28,54,7,15,22,52,82,50,27,14,12,26,4,6,9,1,2,20,4,0,1,2,42,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Smr_1LfNu0E,https://www.youtube.com/watch?v=Smr_1LfNu0E,TWICE REALITY “TIME TO TWICE” TDOONG Tour EP.01,100.0,174467,17.0,43,2,4,0,6,0,8,0,1,16,2,1,1,1,1,9,0,1,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w_jJ1hJXy8E,https://www.youtube.com/watch?v=w_jJ1hJXy8E,"Christmas Carol Medley | Cover by NCT DOYOUNG, JAEHYUN, JUNGWOO",6623.0,174341,43.0,2558,1939,205,268,130,294,120,8,22,82,36,29,77,125,26,79,41,30,6,29,53,98,35,14,67,47,51,27,30,8,18,0,4,20,2,4,14,9,2,1,2,11,0,0,0,1,0,0,1,0,0,0,0,0,0,0
_naGeCxCBuo,https://www.youtube.com/watch?v=_naGeCxCBuo,[GOING SEVENTEEN] EP.61 토크 회식 #2 (Talk Get-Together #2),100.0,173976,9.0,56,24,4,1,2,1,2,0,0,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
oLllpjkEXPs,https://www.youtube.com/watch?v=oLllpjkEXPs,[SPECIAL VIDEO] THE 8 - 나란히 (Side By Side) (Korean Ver.),4567.0,173100,42.0,2452,280,137,168,223,192,105,23,35,66,18,17,72,162,12,41,31,63,18,27,37,8,17,21,57,71,71,33,17,6,30,2,6,11,0,0,19,5,2,1,1,8,0,0,0,0,0,0,1,0,1,0,0,0,0,0
fpQceDoi9t4,https://www.youtube.com/watch?v=fpQceDoi9t4,[SEVENTEEN] GOING SEVENTEEN 2019 EP.16 MBTI of SVT #3,79.0,172443,11.0,38,14,4,0,0,1,0,0,0,16,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fsPOS80lEdU,https://www.youtube.com/watch?v=fsPOS80lEdU,TOUCHDOWN to ONCE’s Birthday!🎉🎂#TWICE #트와이스 #ONCE #원스 #HappyONCEday #ONCE_8TH_BIRTHDAY,911.0,171138,38.0,307,131,109,33,15,6,31,25,3,4,2,7,14,36,7,84,3,5,5,8,3,1,4,2,7,3,25,2,8,0,3,1,0,7,0,1,2,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lGbPQZ91lHM,https://www.youtube.com/watch?v=lGbPQZ91lHM,⁺. ⊹˚₊𝑻𝑨𝑷 ➠🌹🐰*⁺.⊹ #TAEYONG #JAEMIN #TAP,727.0,169953,38.0,171,187,54,16,33,96,8,4,17,6,4,4,9,18,3,10,1,10,2,5,10,7,9,3,4,4,5,2,6,2,0,1,0,3,0,3,5,2,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
_YIOiI8IA5A,https://www.youtube.com/watch?v=_YIOiI8IA5A,"TWICE DAHYUN ""PROMISE (TWICE)"" Vocal & Piano Cover",10980.0,169755,48.0,3480,453,615,565,259,457,717,220,81,232,91,80,250,628,22,782,85,115,139,162,94,14,92,37,145,116,185,109,261,15,76,38,8,200,1,13,44,77,1,8,1,3,0,1,0,3,0,0,2,0,0,1,1,0,1,0
gG63zVEnpWw,https://www.youtube.com/watch?v=gG63zVEnpWw,[COVER] JUN - ヤキモチ(YAKIMOCHI) (원곡 : 高橋優(타카하시 유우)),11427.0,169445,44.0,4003,913,473,277,163,570,367,27,140,67,57,44,100,210,14,2409,77,85,52,33,81,31,184,30,188,149,60,64,144,27,54,10,0,43,2,4,62,48,3,2,0,127,0,1,0,2,0,0,29,0,0,1,0,0,0,0
ThmAjL8ruGI,https://www.youtube.com/watch?v=ThmAjL8ruGI,우리 정도는 돼야 할 수 있는 거긴 한데👨🏻‍🍳 | 천지의 이것저것 시즌2 Ep.8,300.0,168948,30.0,116,63,3,9,3,23,3,1,2,21,0,1,3,10,0,1,4,2,0,0,1,2,2,0,5,7,5,0,2,1,2,1,1,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
at8Eo6ds0TU,https://www.youtube.com/watch?v=at8Eo6ds0TU,"Cover | KUN, TEN, XIAOJUN - โต๊ะริม (Melt) (NONT TANONT)",8868.0,168845,43.0,1790,119,454,127,80,265,96,17,18,30,44,27,49,140,19,36,29,36,3,18,32,4920,37,20,133,32,83,17,42,10,62,2,3,11,1,3,22,15,2,3,3,17,0,0,0,0,0,0,1,0,0,0,0,0,0,0
-JQtBQLUU_U,https://www.youtube.com/watch?v=-JQtBQLUU_U,We got the bounce 𝒲ℴ𝓌 𝓌ℴ𝓌 𝓌ℴ𝓌 𝓌ℴ𝓌🐹🌹✨,529.0,168600,38.0,144,117,45,21,25,65,3,2,3,6,1,4,4,18,6,7,1,4,1,1,6,4,3,2,4,5,4,1,4,5,3,0,1,1,0,1,4,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
oQ69sTITg2k,https://www.youtube.com/watch?v=oQ69sTITg2k,짙은 농도에…🐰 짙은 농도에…🍑 짙은 농도에…🐶 (X∞),503.0,166265,33.0,111,256,28,7,7,21,0,1,2,9,2,1,5,10,2,3,2,3,2,3,4,5,3,1,0,5,1,1,1,0,1,0,0,1,0,1,2,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lgGVd5XwBgI,https://www.youtube.com/watch?v=lgGVd5XwBgI,Siren 🚨 #HOSHI #호시 #SEVENTEEN #세븐틴 #SVTinCARATLAND,601.0,166191,33.0,192,218,27,21,5,8,6,3,1,10,2,2,8,18,2,20,0,2,2,1,5,2,1,9,11,5,8,0,3,1,0,2,0,1,0,0,0,1,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6lvYvZQQ6hU,https://www.youtube.com/watch?v=6lvYvZQQ6hU,"NAYEON ""POP!"" Cheering Guide",6638.0,163932,44.0,2437,264,397,149,336,77,328,86,50,85,52,182,195,209,16,162,66,303,240,93,29,12,45,22,120,57,247,41,72,13,37,59,4,37,2,4,47,28,3,9,1,6,0,0,0,14,0,0,2,0,0,0,0,0,0,0
rp3nQosLcUk,https://www.youtube.com/watch?v=rp3nQosLcUk,Happy MINA day!,12370.0,163898,46.0,4270,589,321,307,1906,116,515,197,62,128,42,27,216,1639,22,801,51,86,75,80,16,15,51,19,52,172,173,106,57,5,25,21,3,48,3,8,44,84,1,2,1,6,0,0,1,5,0,0,1,0,0,0,0,0,1,0
kE2H0KSFI9w,https://www.youtube.com/watch?v=kE2H0KSFI9w,"TWICE TV ""Feel Special"" EP.01",4199.0,163551,40.0,2383,374,127,64,182,38,74,5,66,116,38,27,43,88,1,138,13,35,27,31,38,6,15,11,20,74,45,11,29,7,16,8,3,14,0,1,11,10,0,1,0,6,0,0,0,0,0,0,3,0,0,0,0,0,0,0
U_MY6ndtoKI,https://www.youtube.com/watch?v=U_MY6ndtoKI,"Yes, I am Sana. ASMR Interview",100.0,163309,24.0,34,9,4,1,7,1,2,1,2,11,0,0,3,4,0,7,0,2,0,3,1,0,1,1,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s9AHDkr3YzQ,https://www.youtube.com/watch?v=s9AHDkr3YzQ,#TalkthatTalk Challenge✌  🐰🐶🍫💕,685.0,163288,39.0,252,28,53,19,34,19,34,10,5,17,5,6,9,26,8,40,7,6,5,6,3,0,8,2,8,4,20,12,14,2,4,3,0,4,0,4,1,1,2,0,1,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0
VIX5cpGIvgw,https://www.youtube.com/watch?v=VIX5cpGIvgw,호시 (HOSHI) - 호랑이 (Feat. Tiger JK),8484.0,160380,44.0,2892,2043,507,372,212,311,114,28,29,150,53,76,112,249,21,90,21,17,37,27,38,5,22,227,117,140,283,40,28,28,89,19,26,5,1,2,19,10,0,4,1,9,1,0,0,4,5,0,0,0,0,0,0,0,0,0
g9wHWbvMDUU,https://www.youtube.com/watch?v=g9wHWbvMDUU,"I want somebody, 걸음이 더디긴 해도 #DO(D.O.) #디오 #Somebody #기대 #디오_기대 #EXO #엑소 #weareoneEXO #shorts",1656.0,160069,43.0,318,276,269,19,96,126,43,6,12,16,5,6,35,71,16,10,25,20,17,11,39,5,28,8,9,30,7,4,16,6,6,3,5,23,1,0,10,48,1,2,1,5,0,1,1,0,0,0,0,0,0,0,0,0,0,0
49ypIHJi_pw,https://www.youtube.com/watch?v=49ypIHJi_pw,#TZUYU heart is burning burning burning🦌#TWICE #트와이스 #쯔위#WithYOUth❤‍🔥 #ONESPARK💥,792.0,159294,40.0,159,124,81,11,11,5,17,48,5,5,6,4,7,7,2,162,3,11,2,16,5,1,1,1,5,9,17,4,5,2,4,1,3,9,2,2,0,5,0,0,1,15,0,0,0,0,0,0,14,0,0,0,0,0,0,0
K5ZSzxWU_EQ,https://www.youtube.com/watch?v=K5ZSzxWU_EQ,🌹🐰 How do you like my Baggy Jeeeeeans 〰️ 👖✨,479.0,158591,32.0,250,91,24,5,9,11,7,6,1,5,0,1,7,7,4,5,0,2,7,2,3,4,2,3,3,7,0,1,4,0,1,1,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4CKdGuTeg1U,https://www.youtube.com/watch?v=4CKdGuTeg1U,#RunAway 🏃‍♀ with #JIHYO 🦄 #TWICE #트와이스 #TZUYU #쯔위 #abouTZU #지효,774.0,157172,37.0,241,59,103,32,11,10,29,9,1,4,8,3,22,27,5,81,8,6,9,2,8,1,5,0,4,18,13,2,9,0,2,2,2,14,0,5,4,3,0,0,0,8,0,0,0,0,0,0,4,0,0,0,0,0,0,0
GWlt85wdc7c,https://www.youtube.com/watch?v=GWlt85wdc7c,"“볼링이란, 나 자신과의 싸움” - 정재현 | 김정우의 이 사람을 찾아서",5223.0,157057,42.0,2559,655,76,228,114,488,37,16,66,134,8,15,68,156,5,27,20,28,12,11,85,23,88,12,55,57,31,13,29,12,34,2,5,9,3,5,15,13,3,2,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0
E3Xz-KpJPmA,https://www.youtube.com/watch?v=E3Xz-KpJPmA,We chose hard peach KAI🍑🖤,1470.0,156084,42.0,528,107,160,23,35,50,44,12,24,14,6,6,31,40,14,8,13,26,35,15,21,2,38,25,11,38,6,11,21,4,19,16,1,9,2,13,19,10,0,2,0,8,0,1,0,2,0,0,0,0,0,0,0,0,0,0
8eGoPXPUEg8,https://www.youtube.com/watch?v=8eGoPXPUEg8,"TWICE REALITY ""TIME TO TWICE"" TDOONG High School Season 3 EP.01",4072.0,155629,44.0,1803,248,156,94,89,65,276,42,31,136,25,33,113,127,11,302,17,39,36,24,15,4,29,7,20,104,78,30,19,6,10,15,3,18,2,3,12,4,2,4,2,12,0,0,0,2,0,0,4,0,0,0,0,0,0,0
xFHP09n3UDc,https://www.youtube.com/watch?v=xFHP09n3UDc,MBTI Chamber : NCT and the Secret of MBTI | THE NCT SHOW,100.0,154939,5.0,28,54,0,1,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
jg4YB96clmw,https://www.youtube.com/watch?v=jg4YB96clmw,[SPECIAL VIDEO] SEVENTEEN(세븐틴) - Power of Love (KOR Ver.),1200.0,154513,39.0,520,195,91,30,24,32,39,6,3,27,3,6,16,16,1,33,2,13,7,10,6,2,8,8,31,12,10,8,15,0,11,0,0,1,0,1,6,2,1,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0
qJgkZtIYRIU,https://www.youtube.com/watch?v=qJgkZtIYRIU,BAEKHYUN 백현 'Delight' Mood Sampler #Sticky Ver.,100.0,154111,21.0,16,14,17,3,1,2,4,2,0,3,0,1,2,3,0,0,0,0,16,0,0,0,1,0,4,1,0,2,2,0,1,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
w0FkoVriWCg,https://www.youtube.com/watch?v=w0FkoVriWCg,[SPECIAL VIDEO] We gonna make it shine 2017ver.,4320.0,152739,41.0,2305,725,155,159,77,85,58,6,22,72,30,27,71,98,3,26,19,33,9,31,34,5,4,6,55,23,28,13,34,7,33,4,23,9,0,1,18,5,0,0,0,4,0,1,0,1,0,0,1,0,0,0,0,0,0,0
eZtB1PJ1Dtc,https://www.youtube.com/watch?v=eZtB1PJ1Dtc,TWICE REALITY “TIME TO TWICE” Crime Scene EP.01,13364.0,151848,43.0,8411,456,332,256,558,245,236,118,147,368,57,84,237,545,10,133,46,49,119,61,63,14,98,26,91,110,130,91,56,13,66,20,14,30,2,15,28,9,4,0,0,6,0,2,0,4,0,0,4,0,0,0,0,0,0,0
v2ZTf-lyJZo,https://www.youtube.com/watch?v=v2ZTf-lyJZo,SEVENTEEN (세븐틴) - 'HOT' @JAPAN TV SHOW (YouTube ver.),994.0,151806,38.0,480,89,45,35,15,29,27,2,5,26,4,10,14,32,6,54,4,5,3,7,16,2,3,2,26,7,11,4,8,1,5,1,1,2,1,0,4,4,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
iObOfvb7-aA,https://www.youtube.com/watch?v=iObOfvb7-aA,Join NAYEON in POP!-ing on the runway🎈💃,466.0,150992,37.0,161,35,57,6,15,3,15,7,2,6,5,12,5,13,1,39,4,10,7,5,1,1,3,2,7,10,12,1,9,1,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
EmY8lCZctIo,https://www.youtube.com/watch?v=EmY8lCZctIo,#SETMEFREE Challenge #TZUYU #TWICE #트와이스 #READYTOBE,802.0,150230,39.0,213,82,75,11,9,8,20,34,5,3,13,8,11,16,6,146,4,14,9,7,2,0,4,6,4,15,21,4,9,2,5,3,0,10,0,1,3,8,0,1,3,5,0,0,0,0,0,0,2,0,0,0,0,0,0,0
OLCdckWVGbo,https://www.youtube.com/watch?v=OLCdckWVGbo,#RunAway with 챙쯔 🐯🦌 #TWICE #트와이스 #TZUYU #쯔위 #abouTZU #CHAEYOUNG #채영,1113.0,149956,41.0,352,122,112,31,17,8,44,19,13,19,4,7,26,20,3,110,5,32,12,16,5,1,3,7,9,11,39,4,10,0,3,4,1,10,0,4,6,2,4,0,0,6,0,0,0,1,0,0,10,0,0,0,0,0,1,0
Quw3Hy_89Xw,https://www.youtube.com/watch?v=Quw3Hy_89Xw,𝔖𝔥𝔞𝔩𝔞𝔩𝔞 𝔴𝔦𝔱𝔥 𝔏𝔢𝔢𝔧𝔲𝔫𝔤 🔥 #TAEYONG #태용 #SHALALA #SHALALA_Challenge #Shorts,366.0,149715,30.0,123,90,24,20,12,16,2,5,6,3,1,6,4,17,4,0,0,0,0,4,2,3,1,0,5,3,3,1,5,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
mHJNduifECM,https://www.youtube.com/watch?v=mHJNduifECM,도겸 - You're My Christmas,100.0,147960,19.0,48,23,6,1,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,0,1,0,0,1,0,1,1,7,1,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
