video_id,video_link,title,comment_count,like_count,languages_used,en,ko,unknown,de,tl,id,es,tr,et,cy,ca,pl,pt,so,ru,ja,hr,ro,ar,it,af,th,fi,da,nl,sw,vi,hu,fr,sv,no,fa,sq,cs,bg,lt,sl,sk,lv,uk,mk,zh-cn,he,el,bn,ur,te,pa,zh-tw,ml,ta,kn,gu,ne,hi,mr
b6ycw7p9-bE,https://www.youtube.com/watch?v=b6ycw7p9-bE,EXO 엑소 '전야 (前夜) (The Eve)' Dance Practice,73584.0,2369511,49.0,34844,1762,4357,2314,1801,2496,2189,979,866,1851,981,398,2160,2209,309,98,262,344,3434,481,842,536,654,536,449,1573,683,233,833,280,692,498,148,170,31,196,391,346,36,36,27,120,1,20,1,97,0,0,16,1,0,3,0,0,0,0
DwRDJQC9LD4,https://www.youtube.com/watch?v=DwRDJQC9LD4,🕶🕶 #StrayKids #스트레이키즈 #현진 #Hyunjin #한 #HAN #YouMakeStrayKidsStay,17464.0,2319616,47.0,6781,830,1469,395,545,350,339,744,74,151,60,128,277,608,1111,339,90,88,222,87,292,12,171,137,121,305,239,24,199,299,168,44,44,98,158,13,142,63,5,105,96,23,6,2,1,7,0,0,2,0,0,0,0,0,0,0
RbctNBlXBJc,https://www.youtube.com/watch?v=RbctNBlXBJc,"[FESTA 2017] BTS (방탄소년단) Jimin, JK 'We don't talk anymore'",100.0,2277752,23.0,35,1,15,0,4,2,6,3,1,1,0,1,6,3,0,0,0,2,2,0,1,0,1,2,1,0,0,1,4,0,6,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eMCTbqy-g4Q,https://www.youtube.com/watch?v=eMCTbqy-g4Q,BTS (방탄소년단) 'Butter' @ MUSIC BLOOD,100.0,2271178,20.0,15,15,12,2,7,2,6,0,1,0,1,0,5,0,1,17,0,0,0,0,1,0,0,2,3,0,0,0,2,0,3,0,0,1,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CyzEtbG-sxY,https://www.youtube.com/watch?v=CyzEtbG-sxY,[M/V] SEVENTEEN(세븐틴) - 박수(CLAP),88973.0,2183068,52.0,40994,4949,9022,4106,1669,3082,1618,414,1385,1934,1122,480,1166,2399,129,989,716,365,407,637,1206,205,499,618,2610,1452,960,347,1073,304,672,92,276,129,28,90,367,202,102,22,10,79,1,4,2,16,1,1,16,0,3,2,0,0,1,0
YLtEc-kvOqA,https://www.youtube.com/watch?v=YLtEc-kvOqA,"Stray Kids ""CHEESE"" Video",49186.0,2047885,47.0,18644,616,1832,2427,1076,1120,5925,2113,363,1229,519,362,1702,1477,1080,369,172,233,554,596,402,31,266,305,1711,683,879,316,467,167,349,257,84,67,104,112,263,107,28,71,65,13,2,6,0,20,0,0,1,0,0,0,0,0,1,0
6BhCTJXMdy8,https://www.youtube.com/watch?v=6BhCTJXMdy8,Dancing king & queen Rovers 🐻🍑 #카이 #KAI #모모 #MOMO #Rover #KAI_Rover #RoverChallenge,8638.0,1999139,47.0,4257,767,479,185,176,246,209,75,47,66,34,110,247,215,75,240,11,26,210,80,66,10,52,40,61,158,36,11,153,17,60,31,23,10,5,42,38,22,6,6,4,19,0,0,1,5,0,0,5,0,1,1,0,0,0,0
roughtzsCDI,https://www.youtube.com/watch?v=roughtzsCDI,SHINee 샤이니 'Ring Ding Dong' MV,35485.0,1934992,51.0,15872,1859,2811,897,1402,897,1769,676,405,1031,233,133,668,546,533,206,80,113,584,459,357,392,508,355,428,290,295,213,240,107,394,110,61,47,52,31,129,69,16,47,35,72,3,5,1,16,0,0,23,2,0,3,9,0,1,0
1sA1zwcBhyQ,https://www.youtube.com/watch?v=1sA1zwcBhyQ,There ain't no one to prove! Join V in the #PermissiontoDance 💃🕺 Challenge. Only on YouTube #Shorts,19329.0,1930211,49.0,5389,821,2906,562,917,503,699,150,300,288,95,143,493,418,96,215,124,725,557,301,186,50,147,155,259,351,382,70,334,84,151,119,38,424,10,29,290,439,22,7,7,13,0,3,3,40,0,0,3,4,1,0,0,0,6,0
a2anvsiTV6I,https://www.youtube.com/watch?v=a2anvsiTV6I,현진의 #ChkChkBoom Challenge 🎯 w/ #ITZY #YEJI #예지 !✌ #StrayKids #스트레이키즈 #ATE,12346.0,1908844,47.0,4884,741,740,601,653,191,250,356,47,154,39,83,216,248,517,279,127,71,305,67,231,12,83,101,74,300,177,17,153,13,73,67,51,40,109,22,108,26,1,41,56,10,1,1,2,7,0,0,1,0,0,0,0,0,0,0
